"Name","Films"
"Luke Skywalker","63217"
"C-3PO","546321"
"R2-D2","5463217"
"Darth Vader","6321"
"Leia Organa","63217"
"Owen Lars","561"
"Beru Whitesun lars","561"
"R5-D4","1"
"Biggs Darklighter","1"
"Obi-Wan Kenobi","546321"
"Anakin Skywalker","546"
"Wilhuff Tarkin","16"
"Chewbacca","63217"
"Han Solo","3217"
"Greedo","1"
"Jabba Desilijic Tiure","431"
"Wedge Antilles","321"
"Jek Tono Porkins","1"
"Yoda","54632"
"Palpatine","54632"
"Boba Fett","532"
"IG-88","2"
"Bossk","2"
"Lando Calrissian","32"
"Lobot","2"
"Ackbar","37"
"Mon Mothma","3"
"Arvel Crynyd","3"
"Wicket Systri Warrick","3"
"Nien Nunb","3"
"Qui-Gon Jinn","4"
"Nute Gunray","546"
"Finis Valorum","4"
"Padmé Amidala","546"
"Jar Jar Binks","54"
"Roos Tarpals","4"
"Rugor Nass","4"
"Ric Olié","4"
"Watto","54"
"Sebulba","4"
"Quarsh Panaka","4"
"Shmi Skywalker","54"
"Darth Maul","4"
"Bib Fortuna","3"
"Ayla Secura","546"
"Ratts Tyerel","4"
"Dud Bolt","4"
"Gasgano","4"
"Ben Quadinaros","4"
"Mace Windu","546"
"Ki-Adi-Mundi","546"
"Kit Fisto","546"
"Eeth Koth","46"
"Adi Gallia","46"
"Saesee Tiin","46"
"Yarael Poof","4"
"Plo Koon","546"
"Mas Amedda","54"
"Gregar Typho","5"
"Cordé","5"
"Cliegg Lars","5"
"Poggle the Lesser","56"
"Luminara Unduli","56"
"Barriss Offee","5"
"Dormé","5"
"Dooku","56"
"Bail Prestor Organa","56"
"Jango Fett","5"
"Zam Wesell","5"
"Dexter Jettster","5"
"Lama Su","5"
"Taun We","5"
"Jocasta Nu","5"
"R4-P17","56"
"Wat Tambor","5"
"San Hill","5"
"Shaak Ti","56"
"Grievous","6"
"Tarfful","6"
"Raymus Antilles","16"
"Sly Moore","56"
"Tion Medon","6"
"Finn","7"
"Rey","7"
"Poe Dameron","7"
"BB8","7"
"Captain Phasma","7"