"Name","Slug"
"Atlanta","nba-atl"
"Boston","nba-bos"
"Brooklyn","nba-bk"
"Charlotte","nba-cha"
"Chicago","nba-chi"
"Cleveland","nba-cle"
"Dallas","nba-dal"
"Denver","nba-den"
"Detroit","nba-det"
"Golden State","nba-gs"
"Houston","nba-hou"
"Indiana","nba-ind"
"L.A. Clippers","nba-lac"
"L.A. Lakers","nba-lal"
"Memphis","nba-mem"
"Miami","nba-mia"
"Milwaukee","nba-mil"
"Minnesota","nba-min"
"New Orleans","nba-no"
"New York","nba-ny"
"Oklahoma City","nba-okc"
"Orlando","nba-orl"
"Philadelphia","nba-phi"
"Phoenix","nba-pho"
"Portland","nba-por"
"Sacramento","nba-sac"
"San Antonio","nba-sa"
"Toronto","nba-tor"
"Utah","nba-uta"
"Washington","nba-was"